cnt_date,feature,hitcount
2021-12-14,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-15,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-16,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-17,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-18,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-19,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-20,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-21,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-22,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-23,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-24,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-25,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-26,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-27,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-28,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-29,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-30,WLS_WATER_RESERVE_LOC_SVW,242
2021-12-31,WLS_WATER_RESERVE_LOC_SVW,242
